ric,company_name,name_bhrc,url_bhrc,company_id
AAK.ST,AAK AB (publ),AAK,https://www.business-humanrights.org/en/companies/aak/,762403
AAL.L,Anglo American PLC,Anglo American,https://www.business-humanrights.org/en/companies/anglo-american/,755461
ABBN.S,Abb Ltd,ABB,https://www.business-humanrights.org/en/companies/abb/,755468
ABF.L,Associated British Foods PLC,Associated British Foods,https://www.business-humanrights.org/en/companies/associated-british-foods/,755700
ABI.BR,Anheuser-Busch Inbev SA,Anheuser-Busch InBev,https://www.business-humanrights.org/en/companies/anheuser-busch-inbev/,755837
ABNd.AS,ABN Amro Bank NV,ABN Amro,https://www.business-humanrights.org/en/companies/abn-amro/,755493
ACCP.PA,Accor SA,Accor,https://www.business-humanrights.org/en/companies/accor/,755543
ACS.MC,ACS Actividades de Construccion y Servicios SA,Grupo,https://www.business-humanrights.org/en/companies/grupo-acs/,757262
AD.AS,Koninklijke Ahold Delhaize NV,Ahold Delhaize,https://www.business-humanrights.org/en/companies/ahold-delhaize/,755513
ADEN.S,Adecco Group AG,Adecco Group,https://www.business-humanrights.org/en/companies/adecco-group/,755481
ADML.L,Admiral Group PLC,Admiral Group,https://www.business-humanrights.org/en/companies/admiral-group/,763613
ADP.PA,Aeroports de Paris SA,Aéroports de Paris,https://www.business-humanrights.org/en/companies/aéroports-de-paris-adp/,755678
ADSGn.DE,Adidas AG,adidas,https://www.business-humanrights.org/en/companies/adidas/,755798
AEGN.AS,Aegon Ltd,Aegon,https://www.business-humanrights.org/en/companies/aegon/,755732
AFXG.DE,Carl Zeiss Meditec AG,ZEISS,https://www.business-humanrights.org/en/companies/zeiss/,899364
AGES.BR,Ageas SA,Ageas (formerly Fortis),https://www.business-humanrights.org/en/companies/fortis/,757037
AHT.L,Ashtead Group PLC,Ashtead Group plc,https://www.business-humanrights.org/en/companies/ashtead-group-plc/,900967
AIBG.I,AIB Group PLC,AIB UK Loan Management Limited,https://www.business-humanrights.org/en/companies/aib-uk-loan-management-limited/,901855
AIR.PA,Airbus SE,Airbus SE,https://www.business-humanrights.org/en/companies/airbus-se/,899723
AIRP.PA,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,Air Liquide,https://www.business-humanrights.org/en/companies/air-liquide/,755503
AKE.PA,Arkema SA,Arkema (part of Total),https://www.business-humanrights.org/en/companies/arkema-part-of-total/,755683
AKRBP.OL,Aker BP ASA,Aker BP,https://www.business-humanrights.org/en/companies/aker-bp/,926914
AKZO.AS,Akzo Nobel NV,Akzo Nobel,https://www.business-humanrights.org/en/companies/akzo-nobel/,755514
ALFA.ST,Alfa Laval AB,Alfa Laval Corporate AB,https://www.business-humanrights.org/en/companies/alfa-laval-corporate-ab/,901944
ALSO.PA,Alstom SA,Alstom,https://www.business-humanrights.org/en/companies/alstom/,755609
ALVG.DE,Allianz SE,Allianz,https://www.business-humanrights.org/en/companies/allianz/,755605
AM.PA,Dassault Aviation SA,Dassault Aviation ,https://www.business-humanrights.org/en/companies/dassault-aviation/,763425
ANA.MC,Acciona SA,Acciona Group,https://www.business-humanrights.org/en/companies/acciona-group/,937105
ANDR.VI,Andritz AG,Andritz,https://www.business-humanrights.org/en/companies/andritz/,755704
ARDS.AS,Arcadis NV,Arcadis,https://www.business-humanrights.org/en/companies/arcadis/,760189
ASMI.AS,ASM International NV,ASM International,https://www.business-humanrights.org/en/companies/asm-international/,761145
ASML.AS,ASML Holding NV,ASML Holdings,https://www.business-humanrights.org/en/companies/asml-holdings/,761903
ASSAb.ST,Assa Abloy AB,Assa Abloy,https://www.business-humanrights.org/en/companies/assa-abloy/,755874
ATCOa.ST,Atlas Copco AB,Atlas Copco,https://www.business-humanrights.org/en/companies/atlas-copco/,755780
AUTOA.L,Auto Trader Group PLC,Auto Trader Group plc,https://www.business-humanrights.org/en/companies/auto-trader-group-plc/,903994
AV.L,Aviva PLC,Aviva,https://www.business-humanrights.org/en/companies/aviva/,755486
AXAF.PA,AXA SA,AXA,https://www.business-humanrights.org/en/companies/axa/,755547
AXFO.ST,Axfood AB,Axfood,https://www.business-humanrights.org/en/companies/axfood/,755658
AZMT.MI,Azimut Holding SpA,Azimut Group,https://www.business-humanrights.org/en/companies/azimut-group/,764592
AZN.L,AstraZeneca PLC,AstraZeneca,https://www.business-humanrights.org/en/companies/astrazeneca/,755462
BAB.L,Babcock International Group PLC,Babcock International Group PLC,https://www.business-humanrights.org/en/companies/babcock-international-group-plc/,903255
BAER.S,Julius Baer Gruppe AG,Julius Baer,https://www.business-humanrights.org/en/companies/julius-baer/,760719
BAES.L,BAE Systems PLC,BAE Systems,https://www.business-humanrights.org/en/companies/bae-systems/,755900
BALF.L,Balfour Beatty PLC,Balfour Beatty,https://www.business-humanrights.org/en/companies/balfour-beatty/,755918
BARC.L,Barclays PLC,Barclays,https://www.business-humanrights.org/en/companies/barclays/,755917
BARN.S,Barry Callebaut AG,Barry Callebaut,https://www.business-humanrights.org/en/companies/barry-callebaut/,755956
BASFn.DE,BASF SE,BASF,https://www.business-humanrights.org/en/companies/basf/,755901
BATS.L,British American Tobacco plc,British American Tobacco,https://www.business-humanrights.org/en/companies/british-american-tobacco/,755908
BAYGn.DE,Bayer AG,Bayer,https://www.business-humanrights.org/en/companies/bayer/,756020
BBOXT.L,Tritax Big Box Reit PLC,Tritax Big Box Reit PLC,https://www.business-humanrights.org/en/companies/tritax-big-box-reit-plc/,904822
BBVA.MC,Banco Bilbao Vizcaya Argentaria SA,BBVA,https://www.business-humanrights.org/en/companies/bbva/,755971
BCP.LS,Banco Comercial Portugues SA,Banco Comercial Portugues,https://www.business-humanrights.org/en/companies/banco-comercial-portugues/,755976
BCU.MI,Brunello Cucinelli SpA,Brunello Cucinelli,https://www.business-humanrights.org/en/companies/brunello-cucinelli/,765517
