ric,company_name,name_bhrc,company_id,url_bhrc,category,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AAK.ST,AAK AB (publ),AAK,762403,https://www.business-humanrights.org/en/companies/aak/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAK.ST,AAK AB (publ),AAK,762403,https://www.business-humanrights.org/en/companies/aak/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAK.ST,AAK AB (publ),AAK,762403,https://www.business-humanrights.org/en/companies/aak/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.L,Anglo American PLC,Anglo American,755461,https://www.business-humanrights.org/en/companies/anglo-american/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,12,1,0,0,0,0,0,0
AAL.L,Anglo American PLC,Anglo American,755461,https://www.business-humanrights.org/en/companies/anglo-american/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
AAL.L,Anglo American PLC,Anglo American,755461,https://www.business-humanrights.org/en/companies/anglo-american/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,1,4,2,1,5,6,1
ABBN.S,Abb Ltd,ABB,755468,https://www.business-humanrights.org/en/companies/abb/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBN.S,Abb Ltd,ABB,755468,https://www.business-humanrights.org/en/companies/abb/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBN.S,Abb Ltd,ABB,755468,https://www.business-humanrights.org/en/companies/abb/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABF.L,Associated British Foods PLC,Associated British Foods,755700,https://www.business-humanrights.org/en/companies/associated-british-foods/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF.L,Associated British Foods PLC,Associated British Foods,755700,https://www.business-humanrights.org/en/companies/associated-british-foods/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF.L,Associated British Foods PLC,Associated British Foods,755700,https://www.business-humanrights.org/en/companies/associated-british-foods/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI.BR,Anheuser-Busch Inbev SA,Anheuser-Busch InBev,755837,https://www.business-humanrights.org/en/companies/anheuser-busch-inbev/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ABI.BR,Anheuser-Busch Inbev SA,Anheuser-Busch InBev,755837,https://www.business-humanrights.org/en/companies/anheuser-busch-inbev/,lawsuits,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI.BR,Anheuser-Busch Inbev SA,Anheuser-Busch InBev,755837,https://www.business-humanrights.org/en/companies/anheuser-busch-inbev/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNd.AS,ABN Amro Bank NV,ABN Amro,755493,https://www.business-humanrights.org/en/companies/abn-amro/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNd.AS,ABN Amro Bank NV,ABN Amro,755493,https://www.business-humanrights.org/en/companies/abn-amro/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNd.AS,ABN Amro Bank NV,ABN Amro,755493,https://www.business-humanrights.org/en/companies/abn-amro/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACCP.PA,Accor SA,Accor,755543,https://www.business-humanrights.org/en/companies/accor/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCP.PA,Accor SA,Accor,755543,https://www.business-humanrights.org/en/companies/accor/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCP.PA,Accor SA,Accor,755543,https://www.business-humanrights.org/en/companies/accor/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
ACS.MC,ACS Actividades de Construccion y Servicios SA,Grupo,757262,https://www.business-humanrights.org/en/companies/grupo-acs/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS.MC,ACS Actividades de Construccion y Servicios SA,Grupo,757262,https://www.business-humanrights.org/en/companies/grupo-acs/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS.MC,ACS Actividades de Construccion y Servicios SA,Grupo,757262,https://www.business-humanrights.org/en/companies/grupo-acs/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AD.AS,Koninklijke Ahold Delhaize NV,Ahold Delhaize,755513,https://www.business-humanrights.org/en/companies/ahold-delhaize/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD.AS,Koninklijke Ahold Delhaize NV,Ahold Delhaize,755513,https://www.business-humanrights.org/en/companies/ahold-delhaize/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD.AS,Koninklijke Ahold Delhaize NV,Ahold Delhaize,755513,https://www.business-humanrights.org/en/companies/ahold-delhaize/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
ADEN.S,Adecco Group AG,Adecco Group,755481,https://www.business-humanrights.org/en/companies/adecco-group/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADEN.S,Adecco Group AG,Adecco Group,755481,https://www.business-humanrights.org/en/companies/adecco-group/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADEN.S,Adecco Group AG,Adecco Group,755481,https://www.business-humanrights.org/en/companies/adecco-group/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADML.L,Admiral Group PLC,Admiral Group,763613,https://www.business-humanrights.org/en/companies/admiral-group/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADML.L,Admiral Group PLC,Admiral Group,763613,https://www.business-humanrights.org/en/companies/admiral-group/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
