ric,company_name,name_bhrc,url_bhrc,,,,,,,,,,,,,,
A2.MI,A2A SpA,N/A,N/A,,,,,,,,,,,,,,
AAK.ST,AAK AB (publ),AAK,https://www.business-humanrights.org/en/companies/aak/,,,,,,,,,,,,,,
AAL.L,Anglo American PLC,Anglo American,https://www.business-humanrights.org/en/companies/anglo-american/,,,,,,,,,,,,,,
AALB.AS,Aalberts NV,N/A,N/A,,,,,,,,,,,,,,
ABBN.S,Abb Ltd,ABB,https://www.business-humanrights.org/en/companies/abb/,,,,,,,,,,,,,,
ABDN.L,Aberdeen Group PLC,N/A,N/A,,,,,,,,,,,,,,
ABF.L,Associated British Foods PLC,Associated British Foods,https://www.business-humanrights.org/en/companies/associated-british-foods/,,,,,,,,,,,,,,
ABI.BR,Anheuser-Busch Inbev SA,Anheuser-Busch InBev,https://www.business-humanrights.org/en/companies/anheuser-busch-inbev/,,,,,,,,,,,,,,
ABNd.AS,ABN Amro Bank NV,ABN Amro,https://www.business-humanrights.org/en/companies/abn-amro/,,,,,,,,,,,,,,
ACCP.PA,Accor SA,Accor,https://www.business-humanrights.org/en/companies/accor/,,,,,,,,,,,,,,
ACKB.BR,Ackermans & Van Haaren NV,N/A,N/A,,,,,,,,,,,,,,
ACLN.S,Accelleron Industries AG,N/A,N/A,,,,,,,,,,,,,,
ACS.MC,ACS Actividades de Construccion y Servicios SA,Grupo,https://www.business-humanrights.org/en/companies/grupo-acs/,,,,,,,,,,,,,,
AD.AS,Koninklijke Ahold Delhaize NV,Ahold Delhaize,https://www.business-humanrights.org/en/companies/ahold-delhaize/,,,,,,,,,,,,,,
ADDTb.ST,Addtech AB,N/A,N/A,,,,,,,,,,,,,,
ADEN.S,Adecco Group AG,Adecco Group,https://www.business-humanrights.org/en/companies/adecco-group/,,,,,,,,,,,,,,
ADML.L,Admiral Group PLC,Admiral Group,https://www.business-humanrights.org/en/companies/admiral-group/,,,,,,,,,,,,,,
ADP.PA,Aeroports de Paris SA,Aéroports de Paris,https://www.business-humanrights.org/en/companies/aéroports-de-paris-adp/,,,,,,,,,,,,,,
ADSGn.DE,Adidas AG,adidas,https://www.business-humanrights.org/en/companies/adidas/,,,,,,,,,,,,,,
ADYEN.AS,Adyen NV,N/A,N/A,,,,,,,,,,,,,,
